%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1651108794841471032,213,1651108794840333649,,0.0,0.0,1.0092219276456558,0.0,0.0,0.0,1.0
1651108794891704258,214,1651108794890329691,,0.0,0.0,1.008703930405552,0.0,0.0,0.0,1.0
1651108794941923787,215,1651108794940329691,,0.0,0.0,1.008208034817579,0.0,0.0,0.0,1.0
1651108794991710769,216,1651108794990294483,,0.0,0.0,1.0077271141171804,0.0,0.0,0.0,1.0
1651108795041505826,217,1651108795040302141,,0.0,0.0,1.0072568225912832,0.0,0.0,0.0,1.0
1651108795091954730,218,1651108795090296988,,0.0,0.0,1.0067994890804781,0.0,0.0,0.0,1.0
1651108795141641924,219,1651108795140318762,,0.0,0.0,1.006364316819145,0.0,0.0,0.0,1.0
1651108795192699310,220,1651108795190307358,,0.0,0.0,1.0059572161243844,0.0,0.0,0.0,1.0
1651108795241582243,221,1651108795240296997,,0.0,0.0,1.0055789797736434,0.0,0.0,0.0,1.0
1651108795291488132,222,1651108795290325749,,0.0,0.0,1.0052264617183264,0.0,0.0,0.0,1.0
1651108795341607457,223,1651108795340281951,,0.0,0.0,1.0048974397869541,0.0,0.0,0.0,1.0
1651108795391784176,224,1651108795390309141,,0.0,0.0,1.0045886674076407,0.0,0.0,0.0,1.0
1651108795441409183,225,1651108795440300186,,0.0,0.0,1.0042954215488054,0.0,0.0,0.0,1.0
1651108795492059856,226,1651108795490936119,,0.0,0.0,1.0040116897238396,0.0,0.0,0.0,1.0
1651108795541492105,227,1651108795540342795,,0.0,0.0,1.00374703014755,0.0,0.0,0.0,1.0
1651108795591706949,228,1651108795590518577,,0.0,0.0,1.0034908653311048,0.0,0.0,0.0,1.0
1651108795642513922,229,1651108795640937325,,0.0,0.0,1.003248776037548,0.0,0.0,0.0,1.0
1651108795691626435,230,1651108795690348220,,0.0,0.0,1.0030259418642853,0.0,0.0,0.0,1.0
1651108795741408576,231,1651108795740340775,,0.0,0.0,1.0028137712089031,0.0,0.0,0.0,1.0
